property_type,state,lat,lon,area_m2,price_mxn
HOUSE,Chiapas,16.780325,-93.119637,180.0,105372.96
HOUSE,Yucatán,21.039522,-89.563911,178.0,60076.83
APARTMENT,Distrito Federal,19.465454,-99.162665,69.0,75375.18
HOUSE,Jalisco,20.700756,-103.333385,300.0,94308.8
HOUSE,Baja California Sur,22.886851,-109.946872,94.0,50485.62
HOUSE,Querétaro,20.549404,-100.378563,110.0,76395.4
HOUSE,Distrito Federal,19.353288,-99.244721,150.0,136405.3
HOUSE,Estado de México,19.278994,-99.559006,136.0,89567.02
HOUSE,Puebla,18.985191,-98.186447,,105372.96
APARTMENT,Jalisco,20.67603,-103.425418,125.0,157479.9
APARTMENT,Guerrero,16.87630091,-99.88293272,88.0,39260.73
HOUSE,Nayarit,,-104.923553,115.0,47429.08
APARTMENT,Chiapas,16.748743,-93.066491,73.0,43202.91
APARTMENT,Distrito Federal###,19.432657,-99.177444,150.0,-135085.08
HOUSE,Querétaro,20.618279,-100.346985,160.0,99601.06
HOUSE,Estado de México,19.72876,,236.0,237145.4
HOUSE,Veracruz de Ignacio de la Llave,25.51506,-103.413092,230.0,44783.51
HOUSE,Querétaro,20.419854,-99.998039,89.0,
HOUSE,Morelos,18.804197,-98.932816,117.0,65858.1
,San Luis Potosí,22.133104,-100.982117,100.0,53740.21
APARTMENT,Distrito Federal,19.400249,-99.177444,150.0,273969.71
HOUSE,Yucatán,21.03071,-89.618103,382.0,223970.65
HOUSE,Jalisco,20.649154,-105.202538,90.0,33719.34
HOUSE,Baja California,32.426032,-117.033916,140.0,62570.46
,Tamaulipas,26.058614,-98.322969,252.0,66933.76
HOUSE,Veracruz de Ignacio de la Llave,25.599048,-103.412397,189.0,64277.51
HOUSE,Baja California Sur,,-110.31971,,68492.42
HOUSE,Tamaulipas,22.238298,-97.841892,200.0,110641.61
HOUSE,Puebla,19.046561,-98.190349,110.0,100735.92
APARTMENT,Distrito Federal,19.451872,-99.173522,70.0,66911.83
HOUSE,Estado de México,19.253367,-99.606303,260.0,324021.87
HOUSE,Sonora,29.0287123,-110.97103,200.0,47417.83
APARTMENT,Distrito Federal,19.45569471,-99.16357613,76.0,121355.2
HOUSE,Jalisco,20.7670434,-103.3941011,195.0,135931.12
APARTMENT,Distrito Federal,,-99.23692,100.0,
HOUSE,San Luis Potosí,22.1564699,-100.9855409,110.0,39524.23
HOUSE,Yucatán,21.0634817,-89.6110378,296.0,137017.34
HOUSE,Yucatán,21.135925,-89.6446768,200.0,79029.72
HOUSE,Querétaro,20.547818,-100.407691,80.0,51632.75
HOUSE,Morelos,18.954132,-99.266083,,86932.69
,Quintana Roo,21.152508,-86.850891,180.0,89040.15
HOUSE,Morelos,18.882725,-99.163605,112.0,86953.31
HOUSE,Tabasco,17.97423,-92.923836,60.0,34246.21
HOUSE,Chiapas,16.740764,-93.089951,148.0,84298.37
HOUSE,Nuevo León,25.764894,-100.264221,160.0,65858.1
APARTMENT,Querétaro,20.60782,-100.366721,110.0,131716.2
HOUSE,Distrito Federal,19.469688,-99.085456,248.0,176541.57
APARTMENT,Distrito Federal,19.27112369,-99.20883894,72.0,40645.77
APARTMENT,Jalisco,20.723133,,84.0,178080.31
HOUSE,,16.76764,-93.178283,250.0,173865.39
HOUSE,Yucatán,20.9673702,-89.5925857,290.0,123315.6
HOUSE,Yucatán###,21.017197,-89.574516,158.0,
HOUSE,Morelos,18.862602,-99.213448,320.0,173906.62
HOUSE,Veracruz de Ignacio de la Llave###,19.123617,-96.113161,220.0,-99577.45
HOUSE,Distrito Federal,19.355938,-99.129918,200.0,315618.38
